Data e Ora;RM016_01_QEGF_S128137_Mult01_AI011 (kWh)
01/01/2023 00:00;366160.03
01/01/2023 01:00;366176.73
01/01/2023 02:00;366193.33
01/01/2023 03:00;366210.03
01/01/2023 04:00;366226.85
01/01/2023 05:00;366244.90
01/01/2023 06:00;366261.40
01/01/2023 07:00;366277.83
01/01/2023 08:00;366294.58
01/01/2023 09:00;366312.08
01/01/2023 10:00;366329.73
01/01/2023 11:00;366346.33
01/01/2023 12:00;366363.28
01/01/2023 13:00;366379.83
01/01/2023 14:00;366396.93
01/01/2023 15:00;366414.00
01/01/2023 16:00;366430.75
01/01/2023 17:00;366447.10
01/01/2023 18:00;366463.90
01/01/2023 19:00;366480.65
01/01/2023 20:00;366497.60
01/01/2023 21:00;366514.33
01/01/2023 22:00;366530.88
01/01/2023 23:00;366547.60
02/01/2023 00:00;366564.33
02/01/2023 01:00;366583.03
02/01/2023 02:00;366599.68
02/01/2023 03:00;366616.25
02/01/2023 04:00;366632.73
02/01/2023 05:00;366649.23
02/01/2023 06:00;366665.85
02/01/2023 07:00;366683.83
02/01/2023 08:00;366700.50
02/01/2023 09:00;366718.95
02/01/2023 10:00;366740.53
02/01/2023 11:00;366761.45
02/01/2023 12:00;366782.15
02/01/2023 13:00;366800.73
02/01/2023 14:00;366819.35
02/01/2023 15:00;366838.90
02/01/2023 16:00;366858.48
02/01/2023 17:00;366876.48
02/01/2023 18:00;366895.40
02/01/2023 19:00;366912.88
02/01/2023 20:00;366932.28
02/01/2023 21:00;366949.18
02/01/2023 22:00;366966.13
02/01/2023 23:00;366983.00
03/01/2023 00:00;367000.10
03/01/2023 01:00;367016.80
03/01/2023 02:00;367033.63
03/01/2023 03:00;367050.78
03/01/2023 04:00;367067.45
03/01/2023 05:00;367084.98
03/01/2023 06:00;367104.05
03/01/2023 07:00;367127.13
03/01/2023 08:00;367148.43
03/01/2023 09:00;367169.33
03/01/2023 10:00;367189.15
03/01/2023 11:00;367209.38
03/01/2023 12:00;367228.63
03/01/2023 13:00;367247.90
03/01/2023 14:00;367266.93
03/01/2023 15:00;367286.05
03/01/2023 16:00;367305.48
03/01/2023 17:00;367323.10
03/01/2023 18:00;367342.00
03/01/2023 19:00;367361.68
03/01/2023 20:00;367378.73
03/01/2023 21:00;367395.55
03/01/2023 22:00;367412.75
03/01/2023 23:00;367429.40
04/01/2023 00:00;367446.25
04/01/2023 01:00;367464.50
04/01/2023 02:00;367481.25
04/01/2023 03:00;367498.23
04/01/2023 04:00;367515.30
04/01/2023 05:00;367532.00
04/01/2023 06:00;367552.13
04/01/2023 07:00;367576.78
04/01/2023 08:00;367598.53
04/01/2023 09:00;367620.68
04/01/2023 10:00;367641.85
04/01/2023 11:00;367661.78
04/01/2023 12:00;367682.08
04/01/2023 13:00;367701.90
04/01/2023 14:00;367720.90
04/01/2023 15:00;367740.83
04/01/2023 16:00;367759.70
04/01/2023 17:00;367777.93
04/01/2023 18:00;367797.18
04/01/2023 19:00;367816.35
04/01/2023 20:00;367833.63
04/01/2023 21:00;367850.70
04/01/2023 22:00;367867.58
04/01/2023 23:00;367884.23
05/01/2023 00:00;367901.53
05/01/2023 01:00;367920.15
05/01/2023 02:00;367936.93
05/01/2023 03:00;367953.68
05/01/2023 04:00;367970.40
05/01/2023 05:00;367988.00
05/01/2023 06:00;368008.00
05/01/2023 07:00;368030.78
05/01/2023 08:00;368051.48
05/01/2023 09:00;368074.00
05/01/2023 10:00;368096.15
05/01/2023 11:00;368117.25
05/01/2023 12:00;368137.40
05/01/2023 13:00;368158.98
05/01/2023 14:00;368179.55
05/01/2023 15:00;368200.68
05/01/2023 16:00;368221.63
05/01/2023 17:00;368241.70
05/01/2023 18:00;368261.85
05/01/2023 19:00;368281.68
05/01/2023 20:00;368300.48
05/01/2023 21:00;368317.95
05/01/2023 22:00;368334.85
05/01/2023 23:00;368351.58
06/01/2023 00:00;368368.63
06/01/2023 01:00;368385.85
06/01/2023 02:00;368402.55
06/01/2023 03:00;368419.50
06/01/2023 04:00;368436.48
06/01/2023 05:00;368453.20
06/01/2023 06:00;368471.15
06/01/2023 07:00;368489.10
06/01/2023 08:00;368507.43
06/01/2023 09:00;368526.28
06/01/2023 10:00;368545.13
06/01/2023 11:00;368563.45
06/01/2023 12:00;368581.80
06/01/2023 13:00;368599.58
06/01/2023 14:00;368618.10
06/01/2023 15:00;368635.55
06/01/2023 16:00;368653.00
06/01/2023 17:00;368671.65
06/01/2023 18:00;368689.60
06/01/2023 19:00;368707.73
06/01/2023 20:00;368726.30
06/01/2023 21:00;368743.10
06/01/2023 22:00;368760.23
06/01/2023 23:00;368776.85
07/01/2023 00:00;368793.83
07/01/2023 01:00;368811.45
07/01/2023 02:00;368829.85
07/01/2023 03:00;368846.53
07/01/2023 04:00;368863.60
07/01/2023 05:00;368882.25
07/01/2023 06:00;368899.00
07/01/2023 07:00;368916.10
07/01/2023 08:00;368932.85
07/01/2023 09:00;368950.75
07/01/2023 10:00;368969.00
07/01/2023 11:00;368986.03
07/01/2023 12:00;369002.90
07/01/2023 13:00;369019.90
07/01/2023 14:00;369036.73
07/01/2023 15:00;369053.70
07/01/2023 16:00;369070.90
07/01/2023 17:00;369087.90
07/01/2023 18:00;369104.68
07/01/2023 19:00;369121.98
07/01/2023 20:00;369138.58
07/01/2023 21:00;369156.75
07/01/2023 22:00;369174.40
07/01/2023 23:00;369191.45
08/01/2023 00:00;369208.48
08/01/2023 01:00;369225.35
08/01/2023 02:00;369242.38
08/01/2023 03:00;369259.20
08/01/2023 04:00;369276.15
08/01/2023 05:00;369294.35
08/01/2023 06:00;369311.68
08/01/2023 07:00;369328.65
08/01/2023 08:00;369345.40
08/01/2023 09:00;369362.23
08/01/2023 10:00;369379.70
08/01/2023 11:00;369398.25
08/01/2023 12:00;369415.05
08/01/2023 13:00;369432.20
08/01/2023 14:00;369449.40
08/01/2023 15:00;369466.80
08/01/2023 16:00;369483.85
08/01/2023 17:00;369501.20
08/01/2023 18:00;369517.93
08/01/2023 19:00;369534.95
08/01/2023 20:00;369552.20
08/01/2023 21:00;369569.25
08/01/2023 22:00;369586.18
08/01/2023 23:00;369603.40
09/01/2023 00:00;369620.25
09/01/2023 01:00;369638.83
09/01/2023 02:00;369655.80
09/01/2023 03:00;369672.88
09/01/2023 04:00;369689.80
09/01/2023 05:00;369707.05
09/01/2023 06:00;369726.93
09/01/2023 07:00;369748.83
09/01/2023 08:00;369768.50
09/01/2023 09:00;369787.93
09/01/2023 10:00;369805.98
09/01/2023 11:00;369824.93
09/01/2023 12:00;369843.65
09/01/2023 13:00;369863.75
09/01/2023 14:00;369883.63
09/01/2023 15:00;369904.40
09/01/2023 16:00;369923.70
09/01/2023 17:00;369943.05
09/01/2023 18:00;369962.43
09/01/2023 19:00;369981.28
09/01/2023 20:00;369998.80
09/01/2023 21:00;370015.48
09/01/2023 22:00;370032.10
09/01/2023 23:00;370048.63
10/01/2023 00:00;370065.70
10/01/2023 01:00;370083.70
